settore,provincia,domanda_mese,cpc,clic_giorno,budget_giorno,aziende_sostenibili,verdetto
addestramento_cani,Città metropolitana di Milano,10320,1.62,24.1,10,14.5,VERDE
addestramento_cani,Città metropolitana di Roma Capitale,5960,2.05,13.9,12,8.3,VERDE
addestramento_cani,Città Metropolitana di Napoli,1940,1.93,4.5,10,2.7,VERDE
addestramento_cani,Città Metropolitana di Torino,1800,1.79,4.2,10,2.5,VERDE
addestramento_cani,Città Metropolitana di Bologna,1240,2.71,2.9,10,1.7,VERDE
addestramento_cani,Città Metropolitana di Firenze,1040,2.59,2.4,10,1.5,VERDE
addestramento_cani,Provincia di Brescia,910,1.96,2.1,10,1.3,VERDE
addestramento_cani,Città Metropolitana di Bari,870,2.64,2.0,10,1.2,VERDE
addestramento_cani,Provincia di Bergamo,790,1.6,1.8,10,1.1,GIALLO
addestramento_cani,Provincia di Padova,720,2.09,1.7,10,1.0,GIALLO
addestramento_cani,Provincia di Monza e della Brianza,680,1.88,1.6,10,1.0,GIALLO
addestramento_cani,Città metropolitana di Palermo,660,2.02,1.5,10,0.9,GIALLO
addestramento_cani,Provincia di Varese,590,1.56,1.4,10,0.8,GIALLO
addestramento_cani,Città Metropolitana di Venezia,590,1.69,1.4,10,0.8,GIALLO
addestramento_cani,Provincia di Vicenza,560,2.08,1.3,10,0.8,GIALLO
addestramento_cani,Città metropolitana di Catania,540,2.26,1.3,10,0.8,GIALLO
addestramento_cani,Provincia di Salerno,520,2.5,1.2,10,0.7,GIALLO
addestramento_cani,Provincia di Verona,510,1.92,1.2,10,0.7,GIALLO
addestramento_cani,Provincia di Treviso,510,1.8,1.2,10,0.7,GIALLO
addestramento_cani,Città metropolitana di Cagliari,470,3.55,1.1,10,0.7,GIALLO
addestramento_cani,Provincia di Caserta,410,1.67,1.0,10,0.6,GIALLO
addestramento_cani,Provincia di Lecce,380,1.9,0.9,0,0.5,ROSSO
addestramento_cani,Provincia di Como,370,1.68,0.9,0,0.5,ROSSO
addestramento_cani,Città Metropolitana di Genova,360,2.3,0.8,0,0.5,ROSSO
addestramento_cani,Provincia di Modena,310,2.04,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Pavia,300,1.64,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Rimini,300,2.25,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Perugia,290,1.41,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Lucca,290,1.81,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Pescara,280,2.13,0.7,0,0.4,ROSSO
addestramento_cani,Provincia di Ancona,260,1.99,0.6,0,0.4,ROSSO
addestramento_cani,Provincia di Reggio Emilia,250,2.12,0.6,0,0.4,ROSSO
addestramento_cani,Provincia autonoma di Trento,250,2.65,0.6,0,0.4,ROSSO
addestramento_cani,Provincia di Taranto,240,2.96,0.6,0,0.3,ROSSO
addestramento_cani,Provincia di Cuneo,240,2.31,0.6,0,0.3,ROSSO
addestramento_cani,Provincia di Pisa,240,1.32,0.6,0,0.3,ROSSO
addestramento_cani,Provincia di Novara,220,1.38,0.5,0,0.3,ROSSO
addestramento_cani,Provincia di Mantova,210,1.62,0.5,0,0.3,ROSSO
addestramento_cani,Provincia di Ravenna,200,2.86,0.5,0,0.3,ROSSO
addestramento_cani,Provincia di Parma,190,2.98,0.4,0,0.3,ROSSO
addestramento_cani,Provincia di Latina,190,2.32,0.4,0,0.3,ROSSO
addestramento_cani,Provincia di Cosenza,190,3.0,0.4,0,0.3,ROSSO
addestramento_cani,Provincia di Avellino,170,1.75,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Trieste,170,1.38,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Alessandria,170,2.94,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Lecco,160,1.9,0.4,0,0.2,ROSSO
addestramento_cani,Città metropolitana di Messina,150,1.65,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Foggia,150,0,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Potenza,150,2.48,0.4,0,0.2,ROSSO
addestramento_cani,Provincia di Livorno,140,4.22,0.3,0,0.2,ROSSO
addestramento_cani,Città metropolitana di Reggio Calabria,140,1.35,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Brindisi,120,2.14,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Chieti,120,1.93,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Forlì-Cesena,120,3.64,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Pesaro e Urbino,120,2.92,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Cremona,120,2.32,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Ferrara,120,1.94,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Pistoia,110,3.45,0.3,0,0.2,ROSSO
addestramento_cani,Città metropolitana di Sassari,110,2.68,0.3,0,0.2,ROSSO
addestramento_cani,Provincia di Teramo,100,1.42,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Frosinone,100,4.24,0.2,0,0.1,ROSSO
addestramento_cani,Provincia dell'Aquila,100,2.57,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Piacenza,100,2.14,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Savona,100,3.15,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Benevento,100,0.49,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Catanzaro,100,3.02,0.2,0,0.1,ROSSO
addestramento_cani,Provincia autonoma di Bolzano - Alto Adige,90,1.91,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Siena,90,2.39,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Barletta-Andria-Trani,90,1.24,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Viterbo,90,3.15,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Rovigo,80,1.04,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Prato,80,0,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Arezzo,80,1.67,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Macerata,80,3.5,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Lodi,80,0.54,0.2,0,0.1,ROSSO
addestramento_cani,Provincia della Spezia,70,2.1,0.2,0,0.1,ROSSO
addestramento_cani,Provincia di Pordenone,60,0,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Massa e Carrara,60,2.0,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Campobasso,50,0,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Asti,50,1.77,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Grosseto,50,4.41,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Fermo,40,0.46,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Belluno,40,0.93,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Rieti,40,5.55,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Matera,40,2.76,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Terni,40,0,0.1,0,0.1,ROSSO
addestramento_cani,Provincia di Imperia,30,0,0.1,0,0.0,ROSSO
addestramento_cani,Provincia di Ascoli Piceno,30,0,0.1,0,0.0,ROSSO
addestramento_cani,Provincia di Sondrio,30,0,0.1,0,0.0,ROSSO
addestramento_cani,Provincia di Crotone,30,0,0.1,0,0.0,ROSSO
addestramento_cani,Provincia di Vibo Valentia,30,0,0.1,0,0.0,ROSSO
